date,day_of_week,workout_type,run_distance_km,run_duration_min,avg_pace_min_per_km,boxing_duration_min,skipping_duration_min,desi_workout_duration_min,total_duration_min,avg_heart_rate_bpm,max_heart_rate_bpm,calories_burned,steps
2025-06-21,Saturday,run_only,8.45,55.6,6.58,0.0,0.0,0.0,55.6,145.0,176.0,618,10397
2025-06-22,Sunday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-06-23,Monday,run_only,8.1,54.3,6.7,0.0,0.0,0.0,54.3,140.0,162.0,672,10510
2025-06-24,Tuesday,run_plus_skipping,8.7,57.5,6.61,0.0,12.7,0.0,70.2,153.0,175.0,965,12615
2025-06-25,Wednesday,run_plus_skipping,8.73,59.6,6.83,0.0,13.8,0.0,73.4,155.0,173.0,776,14457
2025-06-26,Thursday,run_only,7.03,45.1,6.42,0.0,0.0,0.0,45.1,139.0,162.0,629,9002
2025-06-27,Friday,run_only,7.79,51.3,6.59,0.0,0.0,0.0,51.3,140.0,162.0,634,9675
2025-06-28,Saturday,run_plus_skipping,8.48,56.5,6.66,0.0,14.9,0.0,71.4,149.0,172.0,805,13052
2025-06-29,Sunday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-06-30,Monday,run_plus_boxing,7.1,47.2,6.65,23.9,0.0,0.0,71.1,154.0,171.0,780,11793
2025-07-01,Tuesday,run_plus_boxing,7.06,44.2,6.26,20.2,0.0,0.0,64.4,151.0,181.0,770,11619
2025-07-02,Wednesday,run_plus_skipping,8.95,56.9,6.36,0.0,16.1,0.0,73.0,156.0,174.0,864,12626
2025-07-03,Thursday,run_plus_boxing,7.48,48.4,6.47,20.2,0.0,0.0,68.6,144.0,172.0,771,10880
2025-07-04,Friday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-07-05,Saturday,run_plus_skipping,8.41,55.0,6.54,0.0,15.8,0.0,70.8,155.0,176.0,861,14170
2025-07-06,Sunday,run_only,7.03,45.1,6.42,0.0,0.0,0.0,45.1,142.0,164.0,588,10264
2025-07-07,Monday,run_plus_skipping,8.35,54.9,6.57,0.0,16.6,0.0,71.5,140.0,170.0,944,13082
2025-07-08,Tuesday,run_only,7.43,47.0,6.33,0.0,0.0,0.0,47.0,136.0,162.0,570,9675
2025-07-09,Wednesday,run_plus_boxing,8.39,53.6,6.39,18.5,0.0,0.0,72.1,150.0,173.0,895,13298
2025-07-10,Thursday,run_plus_skipping,7.26,47.3,6.51,0.0,18.9,0.0,66.2,144.0,181.0,835,12476
2025-07-11,Friday,run_plus_skipping,7.64,46.7,6.11,0.0,19.2,0.0,65.9,156.0,173.0,754,13429
2025-07-12,Saturday,run_plus_boxing,8.26,50.0,6.05,18.3,0.0,0.0,68.3,143.0,185.0,880,12980
2025-07-13,Sunday,boxing_plus_desi,0.0,0.0,,23.5,0.0,31.8,55.3,151.0,178.0,500,4544
2025-07-14,Monday,run_plus_skipping,8.41,53.2,6.32,0.0,12.7,0.0,65.9,144.0,175.0,913,13873
2025-07-15,Tuesday,run_plus_skipping,7.75,46.5,6.0,0.0,19.3,0.0,65.8,146.0,172.0,838,13104
2025-07-16,Wednesday,run_plus_skipping,8.36,56.2,6.72,0.0,13.9,0.0,70.1,156.0,170.0,776,11623
2025-07-17,Thursday,run_plus_boxing,8.99,57.7,6.42,24.7,0.0,0.0,82.4,157.0,184.0,1033,15007
2025-07-18,Friday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-07-19,Saturday,run_only,8.9,55.5,6.24,0.0,0.0,0.0,55.5,142.0,165.0,704,11918
2025-07-20,Sunday,run_plus_boxing,7.16,46.3,6.46,18.1,0.0,0.0,64.4,152.0,185.0,753,11931
2025-07-21,Monday,run_plus_boxing,8.87,60.0,6.77,23.7,0.0,0.0,83.7,152.0,174.0,874,13362
2025-07-22,Tuesday,run_plus_boxing,8.94,57.6,6.44,19.7,0.0,0.0,77.3,142.0,170.0,811,14854
2025-07-23,Wednesday,run_plus_boxing,8.45,54.4,6.44,22.6,0.0,0.0,77.0,156.0,183.0,852,14687
2025-07-24,Thursday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-07-25,Friday,run_only,7.04,40.1,5.69,0.0,0.0,0.0,40.1,137.0,177.0,612,9300
2025-07-26,Saturday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-07-27,Sunday,run_plus_skipping,8.24,52.1,6.32,0.0,17.6,0.0,69.7,146.0,175.0,914,12715
2025-07-28,Monday,run_plus_skipping,8.09,53.0,6.55,0.0,14.4,0.0,67.4,149.0,186.0,931,11685
2025-07-29,Tuesday,boxing_plus_desi,0.0,0.0,,24.9,0.0,34.9,59.8,150.0,180.0,489,5033
2025-07-30,Wednesday,run_plus_skipping,7.36,46.7,6.35,0.0,14.8,0.0,61.5,142.0,172.0,789,11983
2025-07-31,Thursday,run_only,7.06,47.3,6.7,0.0,0.0,0.0,47.3,146.0,173.0,545,10165
2025-08-01,Friday,run_only,8.75,59.8,6.84,0.0,0.0,0.0,59.8,149.0,175.0,623,10984
2025-08-02,Saturday,run_only,7.97,48.3,6.06,0.0,0.0,0.0,48.3,142.0,161.0,677,11704
2025-08-03,Sunday,run_plus_boxing,7.21,47.8,6.63,19.5,0.0,0.0,67.3,142.0,184.0,752,12082
2025-08-04,Monday,run_plus_boxing,7.47,47.0,6.29,18.6,0.0,0.0,65.6,148.0,182.0,805,12081
2025-08-05,Tuesday,run_only,7.67,45.6,5.94,0.0,0.0,0.0,45.6,138.0,161.0,574,9221
2025-08-06,Wednesday,run_only,7.98,51.9,6.51,0.0,0.0,0.0,51.9,149.0,165.0,714,11295
2025-08-07,Thursday,run_plus_boxing,8.68,55.4,6.38,17.1,0.0,0.0,72.5,143.0,170.0,925,12270
2025-08-08,Friday,boxing_plus_desi,0.0,0.0,,23.2,0.0,38.9,62.1,145.0,187.0,555,5131
2025-08-09,Saturday,run_only,7.01,44.4,6.33,0.0,0.0,0.0,44.4,140.0,162.0,539,8673
2025-08-10,Sunday,boxing_plus_desi,0.0,0.0,,21.8,0.0,31.0,52.8,147.0,177.0,555,4597
2025-08-11,Monday,run_plus_skipping,8.82,54.2,6.14,0.0,14.5,0.0,68.7,149.0,187.0,942,12866
2025-08-12,Tuesday,run_plus_boxing,7.46,46.9,6.29,20.4,0.0,0.0,67.3,147.0,177.0,808,11418
2025-08-13,Wednesday,run_plus_skipping,8.24,53.6,6.5,0.0,16.3,0.0,69.9,146.0,173.0,966,11645
2025-08-14,Thursday,run_plus_skipping,7.99,50.0,6.26,0.0,16.3,0.0,66.3,154.0,173.0,844,12257
2025-08-15,Friday,run_plus_skipping,7.02,44.9,6.39,0.0,16.8,0.0,61.7,143.0,173.0,832,10603
2025-08-16,Saturday,run_plus_boxing,7.58,49.2,6.49,16.4,0.0,0.0,65.6,157.0,170.0,738,12446
2025-08-17,Sunday,run_plus_skipping,7.31,46.6,6.37,0.0,16.6,0.0,63.2,148.0,183.0,860,12677
2025-08-18,Monday,run_only,8.84,56.0,6.34,0.0,0.0,0.0,56.0,142.0,174.0,689,10620
2025-08-19,Tuesday,run_plus_boxing,8.07,52.9,6.55,24.2,0.0,0.0,77.1,141.0,176.0,910,12817
2025-08-20,Wednesday,run_only,8.0,51.9,6.49,0.0,0.0,0.0,51.9,135.0,170.0,661,11906
2025-08-21,Thursday,run_plus_boxing,7.17,45.1,6.29,25.0,0.0,0.0,70.1,156.0,176.0,818,12689
2025-08-22,Friday,run_only,7.07,48.3,6.83,0.0,0.0,0.0,48.3,136.0,160.0,604,9334
2025-08-23,Saturday,run_only,7.36,44.9,6.1,0.0,0.0,0.0,44.9,147.0,166.0,626,10600
2025-08-24,Sunday,run_plus_skipping,8.73,57.3,6.56,0.0,14.0,0.0,71.3,147.0,184.0,895,14120
2025-08-25,Monday,run_plus_boxing,8.61,50.6,5.88,24.6,0.0,0.0,75.2,144.0,183.0,962,12856
2025-08-26,Tuesday,run_only,8.17,53.1,6.5,0.0,0.0,0.0,53.1,149.0,164.0,627,10461
2025-08-27,Wednesday,run_plus_boxing,8.1,50.8,6.27,19.4,0.0,0.0,70.2,151.0,172.0,954,12977
2025-08-28,Thursday,run_plus_skipping,7.85,52.9,6.74,0.0,14.1,0.0,67.0,150.0,183.0,868,10978
2025-08-29,Friday,run_only,8.15,52.5,6.44,0.0,0.0,0.0,52.5,140.0,161.0,660,9806
2025-08-30,Saturday,boxing_plus_desi,0.0,0.0,,28.7,0.0,39.0,67.7,151.0,182.0,600,6469
2025-08-31,Sunday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-09-01,Monday,run_only,8.48,53.8,6.34,0.0,0.0,0.0,53.8,144.0,170.0,642,11616
2025-09-02,Tuesday,run_plus_skipping,8.87,54.5,6.14,0.0,17.9,0.0,72.4,140.0,173.0,973,14700
2025-09-03,Wednesday,run_plus_boxing,7.95,48.0,6.04,19.1,0.0,0.0,67.1,150.0,177.0,816,12880
2025-09-04,Thursday,run_plus_boxing,7.72,46.6,6.03,15.9,0.0,0.0,62.5,156.0,186.0,858,12907
2025-09-05,Friday,run_plus_skipping,8.32,53.7,6.46,0.0,14.0,0.0,67.7,151.0,184.0,889,12992
2025-09-06,Saturday,run_plus_boxing,7.95,50.7,6.38,18.1,0.0,0.0,68.8,154.0,176.0,833,12587
2025-09-07,Sunday,run_plus_skipping,7.64,45.8,6.0,0.0,13.0,0.0,58.8,141.0,172.0,821,11141
2025-09-08,Monday,run_plus_skipping,7.64,48.7,6.38,0.0,17.0,0.0,65.7,155.0,182.0,817,11022
2025-09-09,Tuesday,run_plus_boxing,8.88,57.9,6.52,19.0,0.0,0.0,76.9,151.0,185.0,1022,13718
2025-09-10,Wednesday,run_only,7.22,44.3,6.14,0.0,0.0,0.0,44.3,148.0,177.0,548,10803
2025-09-11,Thursday,run_plus_boxing,8.36,54.1,6.47,24.4,0.0,0.0,78.5,150.0,182.0,1042,14254
2025-09-12,Friday,run_plus_skipping,7.24,45.1,6.23,0.0,12.4,0.0,57.5,148.0,186.0,821,10342
2025-09-13,Saturday,run_plus_boxing,8.05,50.6,6.29,19.9,0.0,0.0,70.5,156.0,172.0,891,13030
2025-09-14,Sunday,run_only,8.75,51.9,5.93,0.0,0.0,0.0,51.9,137.0,168.0,620,12945
2025-09-15,Monday,run_only,7.51,47.2,6.28,0.0,0.0,0.0,47.2,139.0,175.0,628,10094
2025-09-16,Tuesday,run_plus_skipping,7.7,47.3,6.14,0.0,17.4,0.0,64.7,152.0,182.0,903,11079
2025-09-17,Wednesday,run_only,7.48,45.5,6.08,0.0,0.0,0.0,45.5,139.0,170.0,667,10815
2025-09-18,Thursday,boxing_plus_desi,0.0,0.0,,20.0,0.0,38.3,58.3,152.0,181.0,583,5118
2025-09-19,Friday,run_plus_skipping,8.08,51.6,6.38,0.0,18.2,0.0,69.8,145.0,176.0,878,13467
2025-09-20,Saturday,boxing_plus_desi,0.0,0.0,,26.9,0.0,31.0,57.9,156.0,181.0,579,6145
2025-09-21,Sunday,boxing_plus_desi,0.0,0.0,,29.7,0.0,41.2,70.9,142.0,181.0,618,7125
2025-09-22,Monday,run_plus_boxing,7.55,45.4,6.01,22.9,0.0,0.0,68.3,150.0,171.0,872,13095
2025-09-23,Tuesday,run_plus_skipping,8.82,54.8,6.21,0.0,18.9,0.0,73.7,145.0,174.0,1066,12677
2025-09-24,Wednesday,run_plus_skipping,7.74,48.2,6.23,0.0,19.7,0.0,67.9,153.0,186.0,808,11376
2025-09-25,Thursday,run_only,8.82,57.1,6.47,0.0,0.0,0.0,57.1,144.0,162.0,650,12190
2025-09-26,Friday,run_plus_boxing,7.45,47.2,6.33,18.3,0.0,0.0,65.5,141.0,177.0,765,11544
2025-09-27,Saturday,run_plus_boxing,7.58,45.8,6.04,21.9,0.0,0.0,67.7,140.0,175.0,928,11456
2025-09-28,Sunday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-09-29,Monday,run_plus_boxing,7.42,48.0,6.47,24.4,0.0,0.0,72.4,140.0,171.0,904,11888
2025-09-30,Tuesday,boxing_plus_desi,0.0,0.0,,22.0,0.0,40.4,62.4,154.0,171.0,554,6105
2025-10-01,Wednesday,run_plus_boxing,8.23,50.2,6.1,18.0,0.0,0.0,68.2,151.0,177.0,939,12868
2025-10-02,Thursday,run_plus_boxing,8.19,50.9,6.21,15.4,0.0,0.0,66.3,149.0,183.0,728,13303
2025-10-03,Friday,boxing_plus_desi,0.0,0.0,,23.4,0.0,32.7,56.1,151.0,187.0,553,4625
2025-10-04,Saturday,run_plus_boxing,7.44,48.5,6.52,19.2,0.0,0.0,67.7,154.0,170.0,832,12714
2025-10-05,Sunday,run_plus_skipping,8.54,58.4,6.84,0.0,16.1,0.0,74.5,148.0,173.0,818,13883
2025-10-06,Monday,boxing_plus_desi,0.0,0.0,,22.8,0.0,35.4,58.2,142.0,182.0,611,5706
2025-10-07,Tuesday,run_plus_skipping,7.75,48.7,6.29,0.0,16.1,0.0,64.8,144.0,174.0,736,12246
2025-10-08,Wednesday,run_plus_skipping,7.19,42.8,5.95,0.0,15.2,0.0,58.0,142.0,174.0,708,10462
2025-10-09,Thursday,boxing_plus_desi,0.0,0.0,,24.4,0.0,35.0,59.4,149.0,181.0,571,5049
2025-10-10,Friday,run_only,7.07,45.5,6.43,0.0,0.0,0.0,45.5,139.0,174.0,588,9725
2025-10-11,Saturday,run_only,7.22,44.8,6.2,0.0,0.0,0.0,44.8,149.0,164.0,640,10686
2025-10-12,Sunday,run_plus_boxing,7.08,43.9,6.2,16.5,0.0,0.0,60.4,157.0,180.0,667,10614
2025-10-13,Monday,run_only,8.06,48.8,6.06,0.0,0.0,0.0,48.8,139.0,160.0,682,10289
2025-10-14,Tuesday,boxing_plus_desi,0.0,0.0,,23.7,0.0,30.3,54.0,157.0,186.0,517,5808
2025-10-15,Wednesday,run_plus_boxing,8.88,55.9,6.3,23.3,0.0,0.0,79.2,155.0,174.0,966,13973
2025-10-16,Thursday,boxing_plus_desi,0.0,0.0,,27.5,0.0,31.4,58.9,148.0,180.0,574,6058
2025-10-17,Friday,run_plus_skipping,7.87,48.6,6.17,0.0,16.4,0.0,65.0,154.0,170.0,834,11932
2025-10-18,Saturday,run_only,7.45,46.3,6.22,0.0,0.0,0.0,46.3,144.0,170.0,611,9788
2025-10-19,Sunday,run_plus_boxing,7.96,47.0,5.91,20.8,0.0,0.0,67.8,151.0,173.0,904,13509
2025-10-20,Monday,run_only,7.02,41.1,5.86,0.0,0.0,0.0,41.1,149.0,174.0,525,9164
2025-10-21,Tuesday,run_plus_boxing,7.51,45.0,5.99,23.0,0.0,0.0,68.0,142.0,177.0,835,11867
2025-10-22,Wednesday,run_only,8.36,49.8,5.96,0.0,0.0,0.0,49.8,144.0,166.0,673,10675
2025-10-23,Thursday,run_plus_boxing,8.61,52.3,6.07,21.3,0.0,0.0,73.6,152.0,178.0,986,14867
2025-10-24,Friday,run_plus_boxing,7.51,46.5,6.19,18.0,0.0,0.0,64.5,143.0,176.0,794,11864
2025-10-25,Saturday,run_plus_skipping,8.73,53.6,6.14,0.0,12.2,0.0,65.8,154.0,172.0,862,13190
2025-10-26,Sunday,boxing_plus_desi,0.0,0.0,,21.4,0.0,40.4,61.8,142.0,179.0,656,5137
2025-10-27,Monday,run_plus_skipping,8.16,50.2,6.15,0.0,14.2,0.0,64.4,153.0,173.0,752,11634
2025-10-28,Tuesday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-10-29,Wednesday,run_plus_boxing,7.14,43.2,6.05,20.4,0.0,0.0,63.6,145.0,177.0,819,12242
2025-10-30,Thursday,run_plus_skipping,8.12,51.2,6.31,0.0,17.8,0.0,69.0,147.0,181.0,823,11801
2025-10-31,Friday,run_plus_boxing,8.64,53.2,6.16,18.8,0.0,0.0,72.0,147.0,174.0,959,12257
2025-11-01,Saturday,run_plus_skipping,8.73,54.5,6.24,0.0,16.9,0.0,71.4,151.0,175.0,832,12915
2025-11-02,Sunday,run_only,7.48,48.0,6.42,0.0,0.0,0.0,48.0,148.0,163.0,654,10247
2025-11-03,Monday,run_plus_boxing,7.79,48.1,6.17,20.4,0.0,0.0,68.5,152.0,172.0,877,11976
2025-11-04,Tuesday,run_only,7.05,42.8,6.07,0.0,0.0,0.0,42.8,148.0,177.0,583,10411
2025-11-05,Wednesday,run_plus_boxing,8.53,51.6,6.05,16.7,0.0,0.0,68.3,142.0,172.0,825,11705
2025-11-06,Thursday,boxing_plus_desi,0.0,0.0,,25.5,0.0,44.5,70.0,152.0,183.0,569,6865
2025-11-07,Friday,run_only,7.77,45.7,5.88,0.0,0.0,0.0,45.7,143.0,161.0,619,10327
2025-11-08,Saturday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-11-09,Sunday,run_plus_skipping,7.53,46.7,6.2,0.0,13.4,0.0,60.1,155.0,170.0,794,11050
2025-11-10,Monday,run_plus_boxing,7.85,46.1,5.87,18.7,0.0,0.0,64.8,153.0,176.0,890,12060
2025-11-11,Tuesday,run_only,8.52,52.0,6.1,0.0,0.0,0.0,52.0,144.0,166.0,701,10732
2025-11-12,Wednesday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-11-13,Thursday,run_only,7.53,46.2,6.14,0.0,0.0,0.0,46.2,141.0,163.0,657,10423
2025-11-14,Friday,run_plus_boxing,8.91,58.6,6.58,16.3,0.0,0.0,74.9,156.0,178.0,991,14606
2025-11-15,Saturday,run_plus_skipping,8.65,48.9,5.65,0.0,15.6,0.0,64.5,156.0,184.0,986,14400
2025-11-16,Sunday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-11-17,Monday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-11-18,Tuesday,run_plus_skipping,8.32,50.8,6.11,0.0,18.4,0.0,69.2,142.0,186.0,969,12756
2025-11-19,Wednesday,run_plus_skipping,7.37,46.9,6.36,0.0,14.1,0.0,61.0,145.0,184.0,699,11514
2025-11-20,Thursday,run_only,7.24,45.4,6.27,0.0,0.0,0.0,45.4,148.0,163.0,618,10791
2025-11-21,Friday,run_only,8.96,57.4,6.41,0.0,0.0,0.0,57.4,149.0,175.0,772,13246
2025-11-22,Saturday,run_only,7.86,50.9,6.48,0.0,0.0,0.0,50.9,146.0,177.0,698,11523
2025-11-23,Sunday,run_only,8.63,52.5,6.08,0.0,0.0,0.0,52.5,147.0,167.0,733,11184
2025-11-24,Monday,run_only,8.08,49.9,6.17,0.0,0.0,0.0,49.9,147.0,177.0,583,10879
2025-11-25,Tuesday,run_only,7.83,49.1,6.27,0.0,0.0,0.0,49.1,137.0,166.0,638,10706
2025-11-26,Wednesday,run_plus_skipping,8.76,55.0,6.28,0.0,14.2,0.0,69.2,142.0,179.0,926,13557
2025-11-27,Thursday,run_only,8.08,51.3,6.35,0.0,0.0,0.0,51.3,144.0,171.0,686,10488
2025-11-28,Friday,run_only,8.75,53.6,6.12,0.0,0.0,0.0,53.6,139.0,163.0,679,10861
2025-11-29,Saturday,rest,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
2025-11-30,Sunday,run_only,7.06,42.5,6.02,0.0,0.0,0.0,42.5,147.0,176.0,577,9700
